       team_name       |   first_name   |      last_name      |  avg  | n  
-----------------------+----------------+---------------------+-------+----
 Florida               | Bridget        | Sloan               | 9.958 |  6
 Florida               | Alex           | McMurtry            | 9.939 | 11
 Stanford              | Elizabeth      | Price               | 9.938 |  9
 Oklahoma              | Haley          | Scaman              | 9.931 | 12
 Utah                  | TORY           | WILSON              | 9.923 | 11
 L.S.U.                | Rheagan        | Courville           | 9.923 | 10
 California            | ToniAnn        | Williams            | 9.915 | 12
 Arkansas              | Amanda         | Wellick             | 9.910 | 12
 Oklahoma              | Chayse         | Capps               | 9.907 | 12
 UCLA                  | Samantha       | Peszek              | 9.905 | 11
 Michigan              | Sachi          | Sugiyama            | 9.902 | 11
 Nebraska              | Ashley         | Lambert             | 9.900 | 10
 Boise State           | Ciera          | Perkins             | 9.895 | 12
 Nebraska              | Jessie         | DeZiel              | 9.895 | 10
 Utah                  | KARI           | LEE                 | 9.895 | 11
 Minnesota             | Lindsay        | Mable               | 9.892 | 13
 Utah                  | KAILAH         | DELANEY             | 9.891 | 11
 Georgia               | Brandie        | Jay                 | 9.891 | 11
 George Washington     | Cami           | DrouinAllaire       | 9.890 | 13
 L.S.U.                | Myia           | Hambrick            | 9.890 | 10
 Alabama               | Kaitlyn        | Clark               | 9.889 | 12
 Auburn                | Caitlin        | Atkinson            | 9.888 | 12
 UCLA                  | Jordan         | Williams            | 9.888 | 11
 L.S.U.                | Sydney         | Ewing               | 9.882 | 11
 Alabama               | Kayla          | Williams            | 9.882 | 11
 Michigan State        | Alina          | Cartwright          | 9.881 |  9
 Boise State           | Maddie         | Krentz              | 9.881 | 12
 Auburn                | MJ             | Rott                | 9.880 | 11
 Utah                  | SAMANTHA       | PARTYKA             | 9.879 |  6
 L.S.U.                | Jessie         | Jordan              | 9.878 | 10
 Oklahoma              | Ali            | Jackson             | 9.877 | 12
 Denver                | Rachel         | Fielitz             | 9.877 | 13
 Nebraska              | Hollie         | Blanske             | 9.875 | 11
 L.S.U.                | Ashleigh       | Gnat                | 9.875 | 11
 Oklahoma              | Brenna         | Dowell              | 9.873 | 12
 North Carolina State  | Brittni        | Watkins             | 9.872 | 10
 Illinois-Champaign    | Giana          | O'Connor            | 9.871 | 12
 Florida               | Kytra          | Hunter              | 9.870 | 11
 Oregon State          | Taylor         | Keeker              | 9.869 | 12
 Alabama               | Lauren         | Beers               | 9.869 | 12
 Missouri              | Shauna         | Miller              | 9.869 | 12
 Alabama               | Carley         | Sims                | 9.868 | 12
 Denver                | Nina           | McGee               | 9.867 | 13
 Florida               | Kennedy        | Baker               | 9.867 | 10
 Utah                  | GEORGIA        | DABRITZ             | 9.866 | 11
 Georgia               | Chelsea        | Davis               | 9.865 | 12
 L.S.U.                | Scarlett       | Williams            | 9.863 |  4
 Alabama               | Katie          | Bailey              | 9.863 |  8
 William & Mary        | BRITTANY       | STOVER              | 9.863 | 10
 L.S.U.                | Britney        | Ranzy               | 9.863 |  2
 Oklahoma              | Keeley         | Kmieciak            | 9.863 | 11
 L.S.U.                | Lloimincia     | Hall                | 9.861 | 11
 Arkansas              | Paige          | Zaziski             | 9.858 | 12
 Oklahoma              | Maile'ana      | Kanewa              | 9.858 |  6
 UCLA                  | Sadiqua        | Bynum               | 9.858 | 10
 Penn State            | Briannah       | Tsang               | 9.857 | 11
 Stanford              | Nicolette      | McNair              | 9.855 | 11
 Minnesota             | Jenny          | Covers              | 9.855 | 11
 Georgia               | Ashlyn         | Broussard           | 9.854 | 12
 Florida               | Kiersten       | Wang                | 9.852 | 11
 Nebraska              | Desire'        | Stephens            | 9.852 | 11
 Arkansas              | Heather        | Elswick             | 9.852 | 12
 Alabama               | Mackenzie      | Brannan             | 9.850 | 10
 Michigan              | Austin         | Sheppard            | 9.850 |  9
 California            | Serena         | Leong               | 9.850 |  2
 Boise State           | Kelsey         | Morris              | 9.850 | 12
 L.S.U.                | Jessica        | Savona              | 9.850 | 11
 Oregon State          | Madeline       | Gardiner            | 9.850 | 12
 Alabama               | Dominique      | Pegg                | 9.850 |  1
 Oregon State          | Erika          | Aufiero             | 9.848 | 12
 Penn State            | Emma           | Sibson              | 9.848 | 11
 Michigan              | Nicole         | Artz                | 9.848 | 11
 Auburn                | Lexus          | Demers              | 9.848 | 12
 Nebraska              | Jennie         | Laeng               | 9.847 | 11
 UCLA                  | LaNieshaJopre' | Irvin               | 9.847 |  8
 Penn State            | Sidney         | SanabriaRobles      | 9.845 | 11
 Georgia               | Brittany       | Rogers              | 9.844 | 10
 Florida               | Bridgette      | Caquatto            | 9.844 | 11
 Boise State           | Ann            | Stockwell           | 9.844 | 12
 Michigan              | Talia          | Chiarelli           | 9.843 | 11
 BYU                   | Makenzie       | Johnson             | 9.842 | 12
 UC Davis              | Katy           | Nogaki              | 9.841 | 11
 George Washington     | Jillian        | Winstanley          | 9.840 | 13
 Arizona State         | Taylor         | Allex               | 9.840 | 10
 Nebraska              | Kamerin        | Moore               | 9.838 |  9
 Nebraska              | Grace          | Williams            | 9.836 | 10
 Alabama               | Keely          | McNeer              | 9.835 | 12
 Oklahoma              | Kara           | Lovan               | 9.834 | 12
 Washington            | Hailey         | Burleson            | 9.834 | 11
 Auburn                | Bri            | Guy                 | 9.834 | 12
 Utah                  | BAELY          | ROWE                | 9.833 | 11
 UCLA                  | PengPeng       | Lee                 | 9.833 | 10
 Florida               | Rachel         | Spicer              | 9.833 | 11
 George Washington     | Elena          | Corcoran            | 9.831 | 13
 Arizona               | Shelby         | Edwards             | 9.830 | 11
 Southern Utah         | Danielle       | RAMIREZ             | 9.829 | 12
 North Carolina State  | Chelsea        | Knight              | 9.827 | 11
 West Virginia         | Jaida          | Lawrence            | 9.827 | 11
 Arkansas              | Leah           | MacMoyle            | 9.825 | 10
 Utah                  | BREANNA        | HUGHES              | 9.825 |  6
 Alabama               | Hunter         | Dennis              | 9.825 |  7
 San Jose State        | Erica          | Matos               | 9.825 |  4
 Denver                | Julia          | Ross                | 9.823 | 13
 UCLA                  | Angi           | Cipra               | 9.821 | 10
 Iowa State            | Haylee         | Young               | 9.821 | 13
 Illinois-Champaign    | Mary Jane      | Horth               | 9.821 | 12
 Southern Utah         | Stacie         | WEBB                | 9.821 | 12
 UCLA                  | JaNay          | Honest              | 9.820 | 11
 Ohio State            | Taylor         | Harrison            | 9.820 | 11
 Penn State            | Lauren         | Li                  | 9.820 | 10
 Denver                | Maggie         | Laughlin            | 9.819 | 13
 Utah                  | TIFFANI        | LEWIS               | 9.819 |  9
 California            | Charlie        | Owens               | 9.819 | 12
 Maryland              | Katy           | Dodds               | 9.818 | 11
 UCLA                  | Sonya          | Meraz               | 9.817 | 10
 Oregon State          | Megan          | Jimenez             | 9.817 | 12
 Kentucky              | Sydney         | Waltz               | 9.816 | 11
 Maryland              | Kathy          | Tang                | 9.815 | 12
 Michigan State        | Nicola         | Deans               | 9.814 | 11
 Denver                | Emily          | Barrett             | 9.813 | 13
 UCLA                  | Jennifer       | Pinches             | 9.813 |  7
 Florida               | Ericha         | Fassbender          | 9.813 | 11
 Missouri              | Laura          | Kappler             | 9.812 | 13
 Michigan              | Brianna        | Brown               | 9.811 | 11
 California            | Arianna        | Robinson            | 9.811 | 12
 Georgia               | Natalie        | Vaculik             | 9.811 | 12
 Rutgers               | Luisa          | Leal                | 9.810 | 12
 Utah State            | McKinzey       | Martinez            | 9.810 | 12
 Michigan              | Brooke         | Parker              | 9.809 | 11
 Central Michigan      | Halle          | Moraw               | 9.808 | 12
 Utah                  | CORRIE         | LOTHROP             | 9.808 | 11
