       team_name       |   first_name   |      last_name      |  avg  | n  
 Auburn                | Kelsey         | Kopec               | 9.808 | 12
 Eastern Michigan      | Anna           | Willette            | 9.808 | 12
 Lindenwood University | Kierstin       | Sokolowski          | 9.807 | 11
 West Virginia         | Zaakira        | Muhammad            | 9.807 | 11
 Kent State            | Chelsea        | Drooger             | 9.805 | 11
 Northern Illinois     | Amanda         | Stepp               | 9.803 | 10
 Arizona State         | Tasha          | Sundby              | 9.803 |  9
 Western Michigan      | Jessi          | Buis                | 9.803 |  9
 Minnesota             | Ciara          | Tomson              | 9.803 | 12
 Minnesota             | Rachel         | Haines              | 9.803 | 12
 Stanford              | Pauline        | Hanset              | 9.802 | 11
 Iowa                  | Angel          | Metcalf             | 9.802 | 11
 Illinois-Champaign    | Erin           | Buchanan            | 9.802 | 12
 New Hampshire         | MEGHAN         | PFLIEGER            | 9.802 | 12
 Oklahoma              | Charity        | Jones               | 9.800 |  1
 Ohio State            | Erin           | Malone              | 9.800 |  9
 Iowa State            | Courtney       | Middelkoop          | 9.800 |  4
 Ohio State            | Tenille        | Funches             | 9.800 | 11
 Stanford              | Danielle       | McNair              | 9.798 | 11
 Towson University     | Katie          | Sassa               | 9.796 | 12
 Maryland              | Shannon        | Skochko             | 9.796 | 12
 Kentucky              | Shannon        | Mitchell            | 9.794 | 11
 California            | Emily          | Richardson          | 9.793 | 12
 Iowa State            | Caitlin        | Brown               | 9.792 | 13
 L.S.U.                | Erin           | Macadaeg            | 9.792 | 10
 California            | Desiree        | Palomares           | 9.792 | 12
 Arizona               | Jessica        | Sisler              | 9.792 | 12
 Southern Utah         | Jamie          | ARMIJO              | 9.792 | 12
 Arkansas              | Samantha       | Nelson              | 9.791 | 12
 Iowa                  | Alie           | Glover              | 9.791 | 11
 Southern Utah         | Madyson        | BLAKE               | 9.791 |  9
 Minnesota             | Bailey         | Gardner             | 9.790 | 13
 West Virginia         | Nicolette      | Swoboda             | 9.789 | 11
 New Hampshire         | ELIZABETH      | MAHONEY             | 9.789 | 11
 Air Force Academy     | Jessica        | Wallander           | 9.789 | 11
 Arkansas              | Cailee         | Ellsworth           | 9.788 |  7
 Oregon State          | Dani           | Dessaints           | 9.788 |  4
 Stanford              | Taylor         | Rice                | 9.786 | 11
 Denver                | Nikole         | Addison             | 9.786 | 12
 Western Michigan      | Kelsey         | Hood                | 9.785 | 10
 Eastern Michigan      | Kendall        | Valentin            | 9.783 | 11
 Georgia               | Sarah          | Persinger           | 9.783 | 12
 Ohio State            | Michelle       | Burns               | 9.782 | 12
 Kent State            | Brooke         | Timko               | 9.782 | 11
 Georgia               | Beth           | Roberts             | 9.781 |  8
 Texas Woman's         | Madison        | Nettles             | 9.781 |  8
 BYU                   | Jill           | Van Mierlo          | 9.780 | 10
 UIC                   | Kimberly       | Randall             | 9.780 | 11
 Oregon State          | Taylor         | Ricci               | 9.779 |  7
 Boise State           | Sandra         | Collantes           | 9.778 | 11
 UIC                   | Gabrielle      | May                 | 9.777 | 11
 Penn State            | Krystal        | Welsh               | 9.777 | 11
 Ball State            | Denasiha       | Christian           | 9.777 | 12
 Northern Illinois     | Megan          | Greenfield          | 9.777 | 12
 Michigan State        | Anna           | Gamelo              | 9.777 | 13
 Utah State            | Sarah          | Landes              | 9.777 | 13
 Arizona               | Allison        | Flores              | 9.775 | 10
 North Carolina        | Sarah          | Peterson            | 9.775 | 11
 Kentucky              | Tiara          | Phipps              | 9.775 | 11
 Kentucky              | Alexis         | Gross               | 9.775 |  2
 Boise State           | Mackenzie      | Bennion             | 9.775 | 12
 Boise State           | Paige          | Urquhart            | 9.775 | 12
 Boise State           | Mary Francis   | Bir                 | 9.775 |  5
 Northern Illinois     | Andie          | Van Voorhis         | 9.775 |  9
 San Jose State        | Cami           | Guyer               | 9.773 | 12
 Arizona               | Gabrielle      | Laub                | 9.773 | 12
 UC Davis              | Dani           | Judal               | 9.773 | 11
 Eastern Michigan      | Carrina        | Lo Bello            | 9.772 | 12
 Central Michigan      | Kiki           | Petzold             | 9.769 | 12
 Bowling Green         | Amanda         | Lievendag           | 9.769 | 12
 North Carolina        | Haley          | Watts               | 9.768 |  8
 Utah State            | Miranda        | Kerr                | 9.767 |  9
 Southern Utah         | Brittney       | JENSEN              | 9.765 | 11
 Pittsburgh            | Tracey         | Pearson             | 9.764 | 11
 Central Michigan      | Rachel         | Carr                | 9.764 | 11
 Oklahoma              | Hunter         | Price               | 9.763 |  2
 Ball State            | Jordyn         | Penny               | 9.763 |  2
 Washington            | Joslyn         | Goings              | 9.761 | 11
 Maryland              | Abigail        | Epperson            | 9.760 | 12
 Utah State            | Jillian        | Chappel             | 9.760 | 13
 BYU                   | Jordan         | Schult              | 9.758 | 12
 Maryland              | Dominiquea     | Trotter             | 9.758 | 12
 Ohio State            | Stefanie       | Merkle              | 9.758 | 10
 Lindenwood University | Rachel         | Zabawa              | 9.757 | 11
 West Virginia         | Dayah          | Haley               | 9.757 | 11
 George Washington     | Alex           | DeMoura             | 9.756 |  8
 Ohio State            | Sarah          | Grady               | 9.756 | 12
 Southern Utah         | Tyly           | BOZZUTO             | 9.755 | 12
 Sacramento State      | Lauren         | Rice                | 9.754 | 12
 Michigan State        | Lisa           | Burt                | 9.754 | 13
 Rutgers               | April          | Baker               | 9.753 | 12
 Washington            | Allison        | Northey             | 9.752 | 11
 Utah State            | Bailey         | McIntire            | 9.752 | 13
 George Washington     | Chelsea        | Raineri             | 9.752 | 13
 Bridgeport            | Kim            | STEWART             | 9.752 | 13
 San Jose State        | Hannah         | Gilbert             | 9.750 | 12
 S.E. Missouri         | Ashley         | Thomas              | 9.750 | 12
 Western Michigan      | Anna           | Corbett             | 9.750 | 10
 Michigan              | Briley         | Casanova            | 9.750 | 11
 Boise State           | Lianne         | Josbacher           | 9.750 | 12
 Alabama               | Mary Lillian   | Sanders             | 9.750 |  1
 Bowling Green         | Lauren         | Feeley              | 9.750 | 12
 Utah State            | Kaitlyn        | Betts               | 9.750 |  9
 Missouri              | Angie          | Kern                | 9.748 | 13
 New Hampshire         | KELSEY         | AUCOIN              | 9.747 | 12
 UC Davis              | Tiana          | Montell             | 9.746 | 12
 North Carolina State  | Amanda         | Fillard             | 9.745 | 11
 Auburn                | Brittany       | Webster             | 9.745 | 12
 Denver                | Katie          | Menhinick           | 9.744 | 12
 Towson University     | Lydia          | Thompson            | 9.744 | 12
 Ball State            | Erin           | Patchey             | 9.744 | 12
 San Jose State        | Kaitlin        | Won                 | 9.742 | 12
 Rutgers               | Sara           | Skammer             | 9.741 | 12
 BYU                   | Mikaela        | Jones               | 9.741 |  8
 Illinois-Champaign    | Heather        | Foley               | 9.740 | 12
 Utah State            | MIchelle       | Yasukochi           | 9.739 | 12
 Rutgers               | Elizabeth      | Groden              | 9.739 | 12
 Eastern Michigan      | Julia          | Schwartz            | 9.739 | 11
 Arkansas              | Stephani       | Canizaro            | 9.738 | 12
 Maryland              | Leah           | Slobodin            | 9.738 | 10
 S.E. Missouri         | Alexis         | Brawner             | 9.738 | 12
 North Carolina State  | Allie          | Wismer              | 9.738 |  5
 Missouri              | Kennedi        | Harris              | 9.737 | 13
 North Carolina State  | Michaela       | Woodford            | 9.736 | 11
 Penn State            | Oni            | Timothy             | 9.736 | 11
 Arizona State         | Allie          | Salas               | 9.736 | 11
 Northern Illinois     | Ashley         | Potts               | 9.736 |  9
 William & Mary        | LARSON         | LASEK               | 9.735 | 10
 North Carolina        | Morgan         | Lane                | 9.734 | 11
 Sacramento State      | Julia          | Konner              | 9.733 | 12
 Georgia               | GiGi           | Marino              | 9.733 | 12
 Oregon State          | Cerise         | Witherby            | 9.732 | 12
 San Jose State        | Rachel         | Heinl               | 9.732 | 12
 Arizona               | Selynna        | FelixTerrazas       | 9.731 | 12
 Ball State            | Sarah          | Ebeyer              | 9.731 | 12
 Missouri              | Becca          | Schugel             | 9.731 | 13
 Iowa State            | Kelsey         | Paz                 | 9.731 | 13
 North Carolina State  | Mackenzie      | Itcush              | 9.731 |  9
 Sacramento State      | Megan          | Kyle                | 9.729 |  6
 New Hampshire         | CASEY          | LAUTER              | 9.729 |  6
 Arizona               | Madison        | Cindric             | 9.729 | 12
 Minnesota             | Ciara          | Gardner             | 9.727 | 13
 New Hampshire         | ADRIENNE       | HILL                | 9.727 | 12
 Illinois State        | Kristyn        | Bossle              | 9.727 | 12
 Central Michigan      | Tori           | Garcia              | 9.727 | 12
 California            | Kristina       | Heymann             | 9.725 |  1
 North Carolina        | Kristin        | Aloi                | 9.725 |  9
 Penn State            | Chanen         | Raygoza             | 9.725 |  5
 Central Michigan      | Becca          | Druien              | 9.725 | 12
 BYU                   | Sin            | To                  | 9.725 | 11
 Eastern Michigan      | Paulina        | Miller              | 9.723 | 12
 Kentucky              | Brittany       | Furuyama            | 9.723 | 11
 Brown                 | Caroline       | Morant              | 9.722 | 10
 Utah State            | Hayley         | Sanzotti            | 9.721 | 13
 Bridgeport            | Sasha          | TSIKHANOVICH        | 9.721 | 13
 Auburn                | Kait           | Kluz                | 9.721 | 12
 West Virginia         | Robyn          | Bernard             | 9.719 | 10
 Central Michigan      | Karlee         | Teet                | 9.719 | 12
 Pittsburgh            | Maebelle       | Pacheco             | 9.718 | 10
 Stanford              | Kristina       | Vaculik             | 9.717 |  7
 Air Force Academy     | Jamie          | Lewis               | 9.716 | 11
 Kentucky              | Marissa        | Beucler             | 9.714 |  9
 West Chester          | Majesta        | Valentine           | 9.714 | 11
 Iowa                  | Caroline       | McCrady             | 9.713 | 10
 BYU                   | KayCee         | Gassaway            | 9.713 | 12
 Iowa State            | Alex           | Marasco             | 9.712 | 13
 Rutgers               | Sahara         | Gipson              | 9.710 | 12
 George Washington     | Sara           | Mermelstein         | 9.710 | 13
 Pittsburgh            | Miya           | Dotson              | 9.709 | 11
 Illinois-Champaign    | Sarah          | Lyons               | 9.709 | 12
 Bowling Green         | Alyssa         | Nocella             | 9.708 | 12
 Ball State            | Kayla          | Beckler             | 9.708 | 12
 Washington            | Alexandra      | Yacalis             | 9.706 |  8
 Denver                | Ellese         | SakaiHart           | 9.706 | 13
 Ohio State            | Jaine          | VanPutten           | 9.705 | 11
 Kent State            | Jordan         | Hardison            | 9.705 | 11
 Alaska                | M'rcy          | Matsunami           | 9.705 | 11
 Seattle Pacific       | Maria          | HUNDLEY             | 9.704 |  6
 Eastern Michigan      | Sydney         | McEachern           | 9.704 | 12
 Kent State            | Nicolle        | Eastman             | 9.703 | 11
 North Carolina State  | Lane           | Jarred              | 9.702 | 11
 California            | Amber          | Takara              | 9.702 | 12
 Southern Utah         | Virginia       | BROWNSELL           | 9.702 | 12
 Oregon State          | Kaytianna      | McMillan            | 9.700 | 11
 Pittsburgh            | Lisa           | Soto                | 9.700 |  8
 Washington            | Zoey           | Schaefer            | 9.700 |  5
 George Washington     | Courtney       | Willoughby          | 9.696 | 12
 Iowa                  | Ashleigh       | Edlin               | 9.695 | 11
 Michigan State        | Mackenzie      | Smith               | 9.694 | 12
 San Jose State        | Maddie         | Herr                | 9.693 | 11
 Iowa                  | Sydney         | Hoerr               | 9.693 | 11
 Missouri              | Katelyn        | Trevino             | 9.693 | 13
 Washington            | Emily          | Liddle              | 9.689 |  9
 Bowling Green         | Jamilah        | Ali                 | 9.688 | 12
 Southern Utah         | Rochelle       | BERNIER             | 9.688 | 12
 Sacramento State      | Caitlin        | Soliwoda            | 9.686 | 11
 Lindenwood University | Aubree         | Horn                | 9.686 | 11
 Maryland              | Karen          | Tang                | 9.686 | 12
 Bowling Green         | Victoria       | Heath               | 9.685 | 12
 Iowa State            | Briana         | Ledesma             | 9.685 | 13
 Kentucky              | Shelby         | Hilton              | 9.684 |  8
 West Virginia         | Amanda         | Bowman              | 9.683 |  6
 Sacramento State      | Kalliah        | McCartney           | 9.683 |  5
 Missouri              | Alyson         | Heimsath            | 9.683 | 13
 North Carolina        | Lexi           | Cappalli            | 9.682 | 11
 Ohio State            | Alexis         | Mattern             | 9.678 | 12
 Northern Illinois     | Kelly          | Nortz               | 9.677 | 12
 UC Davis              | Miranda        | Holder              | 9.675 |  2
 Washington            | Dori           | Overhus             | 9.675 |  1
 UC Davis              | Stephanie      | Stamates            | 9.675 | 12
 Michigan State        | Elena          | Lagoski             | 9.675 | 13
 Boise State           | Krystine       | Jacobsen            | 9.675 | 12
 Towson University     | Noelle         | Harada              | 9.675 | 12
 Arkansas              | Kathleen       | York                | 9.675 |  2
 Central Michigan      | Kirstin        | Stambaugh           | 9.675 | 11
 UC Davis              | Kala           | DeFrancesco         | 9.673 | 12
 Bridgeport            | Caitlin        | PERRY               | 9.672 | 13
 Brown                 | Corey          | Holman              | 9.672 | 10
 Seattle Pacific       | Paige          | BLANEY              | 9.670 | 11
 UC Davis              | Yonni          | Michovska           | 9.667 | 11
 S.E. Missouri         | Bailey         | Walker              | 9.667 |  6
 San Jose State        | Alyssa         | Montalban           | 9.664 | 12
 Sacramento State      | Courtney       | Soliwoda            | 9.663 | 12
 UC Davis              | Alexis         | Brown               | 9.661 | 12
 Texas Woman's         | Kayla          | Jones               | 9.658 |  9
 Kentucky              | Kayla          | Hartley             | 9.658 | 11
 North Carolina        | Kaitlynn       | Hedelund            | 9.658 | 11
 Kent State            | Skyelee        | Lamano              | 9.657 | 11
 Rutgers               | Jenna          | Williams            | 9.655 | 12
 S.E. Missouri         | Alyssa         | Tucker              | 9.654 |  7
 Eastern Michigan      | Catie          | Conrad              | 9.650 | 12
 New Hampshire         | MARISSA        | TOCI                | 9.650 |  8
 Eastern Michigan      | Kimberly       | Ebeyer              | 9.650 | 10
 Rutgers               | Nicolette      | Wilson              | 9.650 |  7
 Michigan State        | Ashley         | Noll                | 9.650 |  2
 Sacramento State      | Dallas         | Smith               | 9.650 | 12
 Wisconsin-Whitewater  | Katie          | Fiorilli            | 9.650 |  9
 Ball State            | Jala           | Washington          | 9.648 | 12
 Pennsylvania          | Morgan         | Venuti              | 9.648 | 10
 Towson University     | Nicolette      | Vignola             | 9.646 | 12
 Seattle Pacific       | Arianna        | HARGER              | 9.645 | 11
 Cornell               | Alexandria     | Bourgeois           | 9.645 | 10
 Western Michigan      | Brittany       | Aragon              | 9.644 |  5
 Stanford              | Rachel         | Daum                | 9.642 | 10
 S.E. Missouri         | Erin           | Brady               | 9.641 | 11
 West Virginia         | Emma           | Lasker              | 9.638 |  2
 Pittsburgh            | Erika          | Reichert            | 9.634 | 11
 Washington            | Podlucky       | Madison             | 9.631 |  9
 Alaska                | Morgan         | Cook                | 9.627 | 11
 New Hampshire         | ERIKA          | RUDIGER             | 9.625 | 12
 Western Michigan      | Lauren         | Vandenberg          | 9.625 |  1
 West Virginia         | Beth           | Deal                | 9.625 | 11
 Alaska                | Sariaye        | Fishburn            | 9.625 |  1
 Minnesota             | Bailey         | Abernathy           | 9.625 |  2
 Bridgeport            | Hope           | TRALLI              | 9.625 |  5
 Texas Woman's         | Schyler        | Jones               | 9.623 | 12
 Alaska                | MarieSophie    | Boggasch            | 9.618 | 11
 Lindenwood University | Courtney       | Heise               | 9.618 | 11
 Northern Illinois     | Courtney       | Dowdell             | 9.617 | 12
 Kent State            | Michaela       | Romito              | 9.613 | 11
 Temple                | Briana         | Odom                | 9.611 | 11
 Texas Woman's         | Mallory        | Moredock            | 9.610 | 12
 Centenary College     | Noel           | Stubbs              | 9.608 | 13
 Ursinus College       | Kaelin         | Ruoss               | 9.607 |  7
 UC Davis              | Taylor         | Baron               | 9.606 |  4
 Yale                  | Camilla        | Opperman            | 9.605 | 10
 Sacramento State      | Annie          | Juarez              | 9.605 |  6
 Bridgeport            | Kelsey         | CAMPBELL            | 9.604 | 13
 Western Michigan      | Kayla          | Weber               | 9.603 |  9
 BYU                   | Eliane         | Kulczyk             | 9.600 |  4
 UIC                   | Nikki          | Woodruff            | 9.598 | 11
 Minnesota             | Bailie         | Holst               | 9.597 | 13
 Michigan State        | Victoria       | Huehn               | 9.595 | 11
 Southern Conn.        | Jenny          | Kaufman             | 9.595 | 11
 William & Mary        | LIVI           | O'CONNOR            | 9.595 | 10
 Michigan State        | Holly          | Ryan                | 9.595 | 13
 Iowa State            | Micole         | O'Dell              | 9.594 |  9
 North Carolina        | Lauren         | Weisel              | 9.592 | 11
 Alaska                | Konkright      | Kelsy               | 9.592 |  4
 Cornell               | Alicia         | Bair                | 9.589 | 11
 Towson University     | Janis          | Konkle              | 9.588 | 12
 Alaska                | Madeleine      | Arbuckle            | 9.588 |  4
 Centenary College     | Ashley         | White               | 9.587 | 13
 Texas Woman's         | Brandi         | Lazarus             | 9.586 |  9
 Illinois State        | Marie          | Priest              | 9.585 |  5
 Illinois State        | Laura          | Jonas               | 9.583 | 12
 West Chester          | Selena         | Swanger             | 9.582 | 11
 Texas Woman's         | Stephanie      | Repp                | 9.582 | 12
 Southern Conn.        | Nicole         | Pruchnik            | 9.580 | 11
 Bridgeport            | Kaila          | SCHAEFFER           | 9.579 | 13
 Northern Illinois     | Megan          | Gilliam             | 9.579 | 12
 New Hampshire         | LIA            | BREEDEN             | 9.575 | 12
 Pennsylvania          | Amber          | Woo                 | 9.575 |  9
 Central Michigan      | Macey          | Hilliker            | 9.575 |  2
 Illinois State        | Sarah          | Fisher              | 9.573 | 12
 Western Michigan      | Jessica        | Juncaj              | 9.571 | 10
 Illinois State        | Kylie          | Meyer               | 9.566 | 11
 Lindenwood University | Valeri         | Ingui               | 9.564 | 11
 Southern Conn.        | Taylor         | Rohrbaugh           | 9.559 | 10
 West Chester          | Rachel         | Blair               | 9.559 | 11
 Alaska                | Simone         | Penker              | 9.558 | 11
 Cornell               | Sara           | Schupp              | 9.557 | 11
 S.E. Missouri         | Alexandria     | Stokes              | 9.556 | 12
 Sacramento State      | Tina           | Necas               | 9.554 | 12
 Temple                | Jasmine        | Johnson             | 9.553 | 10
 UIC                   | Chelsea        | Bailey              | 9.552 | 11
 Lindenwood University | Ajiea          | Hargrave            | 9.550 |  1
 Arizona State         | Morgan         | Steigerwalt         | 9.550 |  1
 California            | Crystal        | Paz                 | 9.550 |  4
 Pennsylvania          | Emily          | Paterson            | 9.550 | 10
 Arizona State         | Beka           | Conrad              | 9.550 | 11
 Brockport State       | Haylee         | Garrick             | 9.550 |  4
 Michigan State        | Katie          | Richter             | 9.550 |  1
 Temple                | Mikaela        | Postlethwait        | 9.550 |  7
 West Virginia         | Alexa          | Goldberg            | 9.550 | 10
 UIC                   | Giulia         | Hindermann          | 9.546 |  7
 Arizona State         | Stephanie      | Miceli              | 9.545 | 11
 Bowling Green         | Katrina        | Carpenter           | 9.545 | 11
 Southern Conn.        | Meghan         | Cole                | 9.545 | 11
 Ball State            | Shelby         | Arms                | 9.544 | 12
 Towson University     | Samantha       | Lutz                | 9.544 | 12
 Western Michigan      | Audry          | Merritt             | 9.543 | 10
 Brown                 | Anya           | Olson               | 9.542 | 11
 Wisconsin-Stout       | Kaylee         | Jondahl             | 9.541 | 11
 Springfield College   | Marissa        | DeAngelo            | 9.539 | 10
 Pennsylvania          | Megan          | Finck               | 9.538 | 10
 Illinois State        | Sami           | King                | 9.538 | 11
 Towson University     | Lauren         | Cahalan             | 9.538 | 12
 Temple                | Victoria       | Reggiani            | 9.535 | 11
 Kentucky              | Khadijah       | Hudson              | 9.533 |  3
 Bridgeport            | Cheyenne       | KELLER              | 9.532 | 11
 Air Force Academy     | Julia          | Sebben              | 9.531 | 10
 Iowa                  | Ashley         | Fischer             | 9.531 |  8
 Temple                | Stephanie      | Verry               | 9.529 | 10
 Wisconsin-Whitewater  | Chloe          | Rehberg             | 9.528 |  9
 Seattle Pacific       | Sydney         | CLARK               | 9.527 | 11
 Lindenwood University | Kayla          | McMullan            | 9.525 |  7
 BYU                   | Rachel         | Tucker              | 9.525 |  1
 Sacramento State      | Alyssa         | Anderson            | 9.525 | 12
 Southern Conn.        | Rachel         | de la Torre         | 9.525 | 11
 Arizona               | Amber          | Wobma               | 9.525 |  1
 Wisconsin-Whitewater  | Christina      | Slack               | 9.525 |  1
 Washington            | Stephanie      | Stowe               | 9.525 | 11
 Southern Conn.        | Alexandra      | Avendano            | 9.523 | 11
 Air Force Academy     | Kim            | McRobbie            | 9.520 | 11
