1,36,55,1/9/2015,7:00PM,Utah State,Logan,Ut,Air Force Academy,4
1,37,66,1/24/2015,1800,Air Force Academy,USAFA,CO,Seattle Pacific University,4
1,38,25,1/30/2015,7:00 PM,Auburn Univ.,Auburn,AL,Air Force Academy,5
1,39,67,2/7/2015,1800,Air Force Academy,USAFA,CO,Texas Woman's University,4
1,40,68,2/14/2015,1800,Air Force Academy,USAFA,CO,Cortland Univsity,4
1,41,300,2/20/2015,7:00 PM,Illinois State,Normal,IL,Air Force,4
1,42,13,2/27/2015,7:00pm,Seattle Pacific,Seattle,WA,US Air Force Academy,4
1,43,116,3/7/2015,6:00,"Denver, U. of",Denver,CO,"Air Force, Ohio State",8
1,44,69,3/9/2015,1800,Air Force Academy,USAFA,CO,Denver & Alaska,8
1,45,425,3/13/2015,7:00 pm,Arizona State,Tempe,AZ,Air Force,4
1,46,323,3/21/2015,6:00pm,MPSF Conference,Anchorage,AK,List one or more opponents here,9
2,858,232,1/9/2015,7:30 PM,"Alabama, U. of",Tuscaloosa,AL,"Arizona, U. of",5
2,859,1,1/16/2015,8pm,"Arkansas, U. of",Fayetteville,AR,Alabama,5
2,860,233,1/23/2015,7:30 PM,"Alabama, U. of",Tuscaloosa,AL,"Florida, U. of",5
2,861,91,1/30/2015,7:00PM,"Kentucky, U. of",Lexington,KY,Alabama,5
2,862,234,2/6/2015,7:30 PM,"Alabama, U. of",Tuscaloosa,AL,Auburn U.,5
2,863,235,2/13/2015,7:30 PM,"Alabama, U. of",Tuscaloosa,AL,Boise State U.,5
2,864,204,2/20/2015,7 pm,"Georgia, U. of",Athens,GA,Alabama,5
2,865,236,2/27/2015,7:30 PM,"Alabama, U. of",Tuscaloosa,AL,LSU,5
2,866,230,3/6/2015,6:30pm,"Missouri, U. of",Columbia,MO,Alabama,5
2,867,454,3/8/2015,3:00 pm CT,Elevate,Unit 99,AL,"Alabama, Auburn",5
2,868,237,3/13/2015,7:30 PM,"Alabama, U. of",Tuscaloosa,AL,"Oklahoma, U. of",5
2,869,85,3/21/2015,2 p.m. & 6 p.m.,SEC Conference,Duluth,GA,"Alabama, Arkansas, Auburn, UF, UGA, UK, LSU, Missouri",17
3,534,216,1/8/2015,7:00pm,"Alaska, U. of",Anchorage,AK,Winona State,4
3,535,217,1/10/2015,2:00pm,"Alaska, U. of",Anchorage,AK,Winona State,4
3,536,207,1/17/2015,8:00,Ozone Invitational,Knoxville,TN,"Whitewater, Alaska, BYU, Bowling Green",9
3,537,12,1/30/2015,7:00pm,Seattle Pacific,Seattle,WA,Univ. of Alaska - Anchorage,4
3,538,240,2/13/2015,7:00pm,Wisconsin-Whitewater,Whitewater,WI,Winona State and University of Alaska-Anchorage,8
3,539,320,2/15/2015,2pm,Northern Illinois Univ.,Dekalb,IL,"Bowling Green, Alaska",8
3,540,218,2/27/2015,7:00pm,"Alaska, U. of",Anchorage,AK,Centenary College,4
3,541,219,3/1/2015,2:00pm,"Alaska, U. of",Anchorage,AK,Centenary College,4
3,542,200,3/6/2015,7pm MST,Boise State Univ.,Boise,ID,Alaska,5
3,543,69,3/9/2015,1800,Air Force Academy,USAFA,CO,Denver & Alaska,8
3,544,323,3/21/2015,6:00pm,MPSF Conference,Anchorage,AK,List one or more opponents here,9
4,824,232,1/9/2015,7:30 PM,"Alabama, U. of",Tuscaloosa,AL,"Arizona, U. of",5
4,825,426,1/16/2015,7pm,"Arizona, U. of",Tucson,AZ,"Sacramento St., U. Wisconsin-Stout, Illinois-Chicago",8
4,826,385,1/19/2015,1pm,UCLA,Los Angeles,CA,Arizona,4
4,827,391,1/24/2015,4:00 p.m.,"Washington, U. of",Seattle,WA,Arizona,5
4,828,427,1/31/2015,4pm,"Arizona, U. of",Tucson,AZ,Utah,4
4,829,304,2/7/2015,2:00pm,Oregon State,Corvallis,OR,Arizona,5
4,830,428,2/16/2015,7pm,"Arizona, U. of",Tucson,AZ,Arizona State,4
4,831,429,2/28/2015,6pm,"Arizona, U. of",Tucson,AZ,California,4
4,832,263,3/6/2015,6:00 PM,Michigan State,East Lansing,MI,Arizona & Eastern Michigan,9
4,833,279,3/8/2015,1:00 pm,Texas Woman's Univ.,Denton,TX,University of Arizona,4
4,834,430,3/14/2015,4pm,"Arizona, U. of",Tucson,AZ,Denver,4
4,835,196,3/21/2015,TBA,PAC 12 Conference,Tempe,AZ,"ASU,",17
5,573,421,1/9/2015,7:00 pm,Arizona State,Tempe,AZ,Southern Utah,4
5,574,90,1/16/2015,7:00pm,"Kentucky, U. of",Lexington,KY,LSU & Arizona St.,9
5,575,380,1/25/2015,2 pm,California,Berkeley,CA,"ASU, SJSU, University of Denver",9
5,576,422,1/31/2015,7:00 pm,Arizona State,Tempe,AZ,Stanford,4
5,577,267,2/6/2015,6:00 pm,"Utah, U. of",Salt Lake City,UT,Arizona State,4
5,578,428,2/16/2015,7pm,"Arizona, U. of",Tucson,AZ,Arizona State,4
5,579,423,2/20/2015,7:00 pm,Arizona State,Tempe,AZ,Oregon State,4
5,580,424,2/28/2015,12:00 pm,Arizona State,Tempe,AZ,UCLA,4
5,581,414,3/6/2015,7:00 pm,Southern Utah Univ.,Cedar City,UT,Arizona State,4
5,582,425,3/13/2015,7:00 pm,Arizona State,Tempe,AZ,Air Force,4
6,490,222,1/9/2015,7:00 pm,"Oklahoma, U. of",Norman,OK,Arkansas,5
6,491,1,1/16/2015,8pm,"Arkansas, U. of",Fayetteville,AR,Alabama,5
6,492,24,1/23/2015,7:00 PM,Auburn Univ.,Auburn,AL,University of Arkansas,5
6,494,2,2/6/2015,7 pm,"Arkansas, U. of",Fayetteville,AR,Florida,5
6,495,3,2/13/2015,7 pm,"Arkansas, U. of",Fayetteville,AR,"Illinois State, Semo",9
6,496,92,2/20/2015,7:00pm,"Kentucky, U. of",Lexington,KY,Arkansas,5
6,497,4,2/27/2015,7 pm,"Arkansas, U. of",Fayetteville,AR,Missouri,5
6,498,205,3/7/2015,6 pm,"Georgia, U. of",Athens,GA,Arkansas,5
6,499,5,3/13/2015,7 pm,"Arkansas, U. of",Fayetteville,AR,UCLA,5
6,994,11,1/9/2015,7:00pm,Seattle Pacific,Seattle,WA,UC - Davis,4
7,812,344,1/9/2015,7:00PM,"North Carolina, U. of",Chapel Hill,NC,Auburn University,4
7,813,6,1/16/2015,7pm,"Florida, U. of",Gainesville,FL,Auburn,5
7,814,24,1/23/2015,7:00 PM,Auburn Univ.,Auburn,AL,University of Arkansas,5
7,815,25,1/30/2015,7:00 PM,Auburn Univ.,Auburn,AL,Air Force Academy,5
7,816,234,2/6/2015,7:30 PM,"Alabama, U. of",Tuscaloosa,AL,Auburn U.,5
7,817,26,2/13/2015,7:00 PM,Auburn Univ.,Auburn,AL,Louisiana State University,5
7,818,229,2/20/2015,6:30pm,"Missouri, U. of",Columbia,MO,Auburn,5
7,819,27,2/27/2015,7:00 PM,Auburn Univ.,Auburn,AL,University of Georgia,5
7,820,93,3/6/2015,7:00pm,"Kentucky, U. of",Lexington,KY,Auburn,5
7,821,454,3/8/2015,3:00 pm CT,Elevate,Unit 99,AL,"Alabama, Auburn",5
7,822,28,3/13/2015,7:00 PM,Auburn Univ.,Auburn,AL,Univeristy of North Carolina,5
7,823,85,3/21/2015,2 p.m. & 6 p.m.,SEC Conference,Duluth,GA,"Alabama, Arkansas, Auburn, UF, UGA, UK, LSU, Missouri",17
9,392,197,1/23/2015,7pm MST,Boise State Univ.,Boise,ID,Southern Utah,5
9,396,198,2/15/2015,7pm MST,Boise State Univ.,Boise,ID,Utah State,5
9,398,199,2/27/2015,7pm MST,Boise State Univ.,Boise,ID,BYU,5
9,399,200,3/6/2015,7pm MST,Boise State Univ.,Boise,ID,Alaska,5
10,416,247,1/10/2015,2:00pm,Bowling Green,Bowling Green,OH,Michigan State University,4
10,421,207,1/17/2015,8:00,Ozone Invitational,Knoxville,TN,"Whitewater, Alaska, BYU, Bowling Green",9
10,546,271,1/24/2015,4:00pm,Eastern Michigan,Ypsilanti,MI,Bowling Green University,4
10,547,338,2/1/2015,1:00 pm,George Washington U.,Washington,DC,Bowling Green,5
10,417,248,2/6/2015,6:00pm,Bowling Green,Bowling Green,OH,Ohio State University,4
10,418,249,2/8/2015,2:00pm,Bowling Green,Bowling Green,OH,Ball State University,4
10,548,320,2/15/2015,2pm,Northern Illinois Univ.,Dekalb,IL,"Bowling Green, Alaska",8
10,549,336,2/22/2015,1 pm,Central Michigan,Mt.Pleasant,MI,Bowling Green State University,5
10,419,250,2/28/2015,4:00pm,Bowling Green,Bowling Green,OH,Western Michigan University,4
10,976,263,3/6/2015,6:00 PM,Michigan State,East Lansing,MI,Arizona & Eastern Michigan,9
10,550,398,3/7/2015,6:00pm,Rutgers Univ.,New Brunswick,NJ,"West Chester, Bowling Green",9
10,420,251,3/14/2015,4:00pm,Bowling Green,Bowling Green,OH,Kent State University,4
10,551,147,3/21/2015,2p,MAC Conference,Kent,OH,MAC Championships: 7 teams total,17
11,127,341,1/17/2015,1:00,Southern Conn.,New Haven,CT,"Brown, Bridgeport, RIC",8
11,129,256,1/24/2015,6pm,Brown Univ.,Providence,RI,"Bridgeport, RI College, URI Club Team",9
11,377,104,2/7/2015,4:00PM,West Chester Univ.,West Chester,PA,"Ursinus, RIC, and Bridgeport",8
11,131,179,2/14/2015,1pm,Temple Univ.,Philadelphia,PA,West Chester and Bridgeport,8
11,132,257,2/15/2015,1pm,Brown Univ.,Providence,RI,"UNH, Bridgeport, Southern CT",9
11,134,158,2/28/2015,1:00 pm,Cornell Univ.,Ithaca,NY,"Bridgeport, William & Mary",4
11,972,306,1/11/2015,1pm,Ball State Univ.,Muncie,IN,University of Florida,4
11,977,464,3/11/2015,6:00 pm,"Bridgeport, U. of",Bridgeport,CT,Brown University,4
11,137,371,3/14/2015,6:30 PM,William & Mary,Williamsburg,VA,BRIDGEPORT,4
11,138,342,3/21/2015,1:00,ECAC 2,New Haven,CT,"West Chester, Bridgeport",8
13,83,341,1/17/2015,1:00,Southern Conn.,New Haven,CT,"Brown, Bridgeport, RIC",8
13,84,256,1/24/2015,6pm,Brown Univ.,Providence,RI,"Bridgeport, RI College, URI Club Team",9
13,85,396,1/31/2015,4:00 pm,Rutgers Univ.,New Brunswick,NJ,"Michigan State, UW-Osh Kosh, Brown",9
13,86,436,2/8/2015,1:00pm,"New Hampshire, U. of",Durham,NH,Towson/Bridgeport/Brown,9
13,87,257,2/15/2015,1pm,Brown Univ.,Providence,RI,"UNH, Bridgeport, Southern CT",9
13,88,363,2/22/2015,1:00PM,"Pennsylvania, U. of",Philadelphia,PA,"Ivy Classic:  Yale, Cornell, Brown",8
13,89,278,3/1/2015,1:00 pm,Texas Woman's Univ.,Denton,TX,"Utah State, Maryland, & Brown",8
13,91,258,3/8/2015,1pm,Brown Univ.,Providence,RI,"Lindenwood, Towson",9
13,90,379,3/5/2015,7:00 pm,"Bridgeport, U. of",Bridgeport,CT,"Rhode Island College, Brown University",8
13,92,259,3/15/2015,1pm,Brown Univ.,Providence,RI,Yale,5
13,93,383,3/21/2015,"",ECAC 1,Danbury,CT,"Yale, Temple, William & Mary, Brown, UPenn, Cornell",9
14,220,416,1/9/2015,7:00 PM,Brigham Young Univ.,Provo,Ut,University of Utah,4
14,221,417,1/23/2015,7:00 PM,Brigham Young Univ.,Provo,Ut,Utah State,4
14,222,410,1/30/2015,7:00 pm,Southern Utah Univ.,Cedar City,UT,BYU,4
14,223,418,2/7/2015,1:00 PM,Brigham Young Univ.,Provo,Ut,Boise State and Denver,8
14,224,419,2/13/2015,7:00 PM,Brigham Young Univ.,Provo,Ut,Southern Utah University,4
14,225,115,2/21/2015,6:00 pm,"Denver, U. of",Denver,CO,"BYU, Iowa",8
14,226,199,2/27/2015,7pm MST,Boise State Univ.,Boise,ID,BYU,5
14,227,420,3/6/2015,7:00 PM,Brigham Young Univ.,Provo,Ut,Central Michigan University,8
14,228,58,3/13/2015,7:00PM,Utah State,Logan,Ut,Brigham Young University,5
15,194,151,1/4/2015,2:00pm,UC Davis,Davis,Ca,"Cal, Sacramento State, SJSU, Stanford",9
15,195,349,1/9/2015,7:00 PM,Sacramento State,Sacramento,CA,Cal Berkeley,4
15,196,193,1/16/2015,7:00pm,San Jose State,San Jose,CA,"CAL, UW La Crosse",8
15,197,380,1/25/2015,2 pm,California,Berkeley,CA,"ASU, SJSU, University of Denver",9
15,198,386,2/1/2015,10am,UCLA,Los Angeles,CA,California,4
15,199,381,2/8/2015,12:00 pm,California,Berkeley,CA,Stanford,5
15,200,382,2/13/2015,7:00 pm,California,Berkeley,CA,Oregon State,4
15,201,393,2/21/2015,7:00 p.m.,"Washington, U. of",Seattle,WA,"California, Seattle Pacific",9
15,202,429,2/28/2015,6pm,"Arizona, U. of",Tucson,AZ,California,4
15,203,384,3/8/2015,12:00 pm,California,Berkeley,CA,UC Davis,5
15,978,415,3/13/2015,7:00 pm,Southern Utah Univ.,Cedar City,UT,"Boise State, CAL",8
15,205,196,3/21/2015,TBA,PAC 12 Conference,Tempe,AZ,"ASU,",17
16,729,38,1/10/2015,4:00,Centenary College,Shreveport,LA,TWU,4
16,730,294,1/18/2015,2:00 PM,Illinois State,Normal,IL,Centenary,4
16,731,276,2/1/2015,1:00 pm,Texas Woman's Univ.,Denton,TX,"San Jose State, Centenary & Towson",8
16,732,39,2/6/2015,6:00 pm,Centenary College,Shreveport,LA,UW Eau Claire,4
16,733,313,2/8/2015,2:00 pm,Iowa State,Ames,IA,Centenary College,5
16,734,254,2/13/2015,7pm,Lindenwood University,St.Charles,MO,"TWU, Centenary",8
16,735,277,2/21/2015,6:00 pm,Texas Woman's Univ.,Denton,TX,Centenary,4
16,736,218,2/27/2015,7:00pm,"Alaska, U. of",Anchorage,AK,Centenary College,4
16,737,219,3/1/2015,2:00pm,"Alaska, U. of",Anchorage,AK,Centenary College,4
16,738,409,3/6/2015,6:30pm CST,S.E. Missouri,Cape Girardeau,MO,Centenary College,4
16,739,40,3/13/2015,7:00 pm,Centenary College,Shreveport,LA,"LSU, UNH",8
16,740,41,3/15/2015,2:00 pm,Centenary College,Shreveport,LA,University of New Hampshire,4
16,741,328,3/21/2015,4:00 pm,MIC Conference,Denton,TX,"Ill. St., SEMO, UIC, Lindenwood, Centenary",8
17,616,332,1/3/2015,1 pm,Central Michigan,Mt.Pleasant,MI,Wisconsin Eau Claire,4
17,617,333,1/11/2015,1 pm,Central Michigan,Mt.Pleasant,MI,University of Illinois,5
17,618,334,1/17/2015,7 pm,Central Michigan,Mt.Pleasant,MI,"Eastern Michigan, Seattle Pacific",9
17,619,307,1/23/2015,7pm,Ball State Univ.,Muncie,IN,Central Michigan,4
17,620,298,1/31/2015,4:00 PM,Illinois State,Normal,IL,UIC - CMU - EMU,8
17,621,335,2/6/2015,7 pm,Central Michigan,Mt.Pleasant,MI,Northern Illinois University,5
17,622,132,2/15/2015,2p,Kent State University,Kent,OH,Central Michigan,5
17,623,336,2/22/2015,1 pm,Central Michigan,Mt.Pleasant,MI,Bowling Green State University,5
17,624,154,2/27/2015,7:00pm,UC Davis,Davis,Ca,"Sac State, Iowa, Central Michigan",8
17,625,420,3/6/2015,7:00 PM,Brigham Young Univ.,Provo,Ut,Central Michigan University,8
17,626,264,3/15/2015,2pm,Western Michigan,Kalamazoo,MI,Central Michigan,4
17,627,147,3/21/2015,2p,MAC Conference,Kent,OH,MAC Championships: 7 teams total,17
18,1,142,1/10/2015,4pm,Penn State,University Park,PA,"Cornell, Rutgers, New Hampshire",9
18,3,159,1/24/2015,1:00 pm,Cornell Univ.,Ithaca,NY,Cortland,4
18,5,160,2/7/2015,1:00 pm,Cornell Univ.,Ithaca,NY,"Brockport, Ithaca, SCSU",8
18,8,158,2/28/2015,1:00 pm,Cornell Univ.,Ithaca,NY,"Bridgeport, William & Mary",4
18,9,161,3/7/2015,12:00 pm,Cornell Univ.,Ithaca,NY,Temple,4
18,10,23,3/14/2015,4:00pm,West Virginia Univ.,Morgantown,WV,"University of Pennsylvania, Cornell University",9
19,552,455,1/13/2015,6:30 p.m.,Cortland State,Cortland,NY,College at Brockport,4
19,553,163,1/17/2015,1:00 p.m.,Cortland State,Cortland,NY,West Chester,4
19,554,159,1/24/2015,1:00 pm,Cornell Univ.,Ithaca,NY,Cortland,4
19,555,166,1/31/2015,1:00 p.m.,Cortland State,Cortland,NY,Springfield College,4
19,556,377,2/8/2015,1:00 p.m.,Cortland State,Cortland,NY,Southern Connecticut,4
19,557,68,2/14/2015,1800,Air Force Academy,USAFA,CO,Cortland Univsity,4
19,558,190,2/21/2015,1:00 PM,Brockport State,Brockport,NY,Cortland College,4
19,559,191,3/1/2015,1:00 PM,Brockport State,Brockport,NY,"RIC, Ithaca, Cortland",8
19,560,167,3/7/2015,3:30 p.m.,Cortland State,Cortland,NY,Ithaca College,4
19,561,378,3/14/2015,1:00pm,NCGA - East,Collegeville,PA,"Brockport. Cortland, RIC, Springfield, Ithaca",9
20,893,209,1/9/2015,7:00pm,North Carolina State,Raleigh,NC,DENVER,4
20,478,112,1/17/2015,6:00 pm,"Denver, U. of",Denver,CO,Utah State University,4
20,938,113,1/19/2015,2:00 pm,"Denver, U. of",Denver,CO,Georgia,4
20,939,380,1/25/2015,2 pm,California,Berkeley,CA,"ASU, SJSU, University of Denver",9
20,940,114,1/29/2015,7:00 pm,"Denver, U. of",Denver,CO,Oklahoma,4
20,941,418,2/7/2015,1:00 PM,Brigham Young Univ.,Provo,Ut,Boise State and Denver,8
20,942,20,2/13/2015,7:00pm,West Virginia Univ.,Morgantown,WV,University of Denver,5
20,943,115,2/21/2015,6:00 pm,"Denver, U. of",Denver,CO,"BYU, Iowa",8
20,944,413,2/27/2015,7:00 pm,Southern Utah Univ.,Cedar City,UT,Denver & Utah State,8
20,945,116,3/7/2015,6:00,"Denver, U. of",Denver,CO,"Air Force, Ohio State",8
20,946,69,3/9/2015,1800,Air Force Academy,USAFA,CO,Denver & Alaska,8
20,947,430,3/14/2015,4pm,"Arizona, U. of",Tucson,AZ,Denver,4
20,948,117,3/21/2015,6:00 pm,Mountain Rim Conference,Denver,CO,"Boise St., BYU, Denver, S. Utah, Utah St.",17
21,681,270,1/9/2015,7:00pm,Eastern Michigan,Ypsilanti,MI,Temple University,4
21,682,334,1/17/2015,7 pm,Central Michigan,Mt.Pleasant,MI,"Eastern Michigan, Seattle Pacific",9
